FECHA,HORA,VAL,SUR,TAC,EAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,NET,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,BJU,TAX,ACO,IZT,CHO
12/07/08,13,0.027,0.002,0.010,0.021,0.008,0.009,0.009,0.010,0.023,0.030,0.020,0.014,0.004,0.008,-9.999,0.014,-9.999,0.016,0.025,0.008,0.002,0.007,0.003,0.012,-9.999,0.006,0.002,0.008,0.000
12/07/08,14,0.012,0.006,0.014,0.020,0.006,0.005,0.005,0.004,0.018,0.015,0.009,0.013,0.005,0.010,-9.999,0.006,-9.999,0.005,0.011,0.005,0.003,0.005,0.007,0.012,-9.999,0.011,0.002,0.012,0.000
12/07/08,15,0.004,0.010,0.006,0.012,0.005,0.000,0.001,0.002,0.008,0.007,0.007,0.006,0.010,0.009,-9.999,0.001,-9.999,0.001,0.005,0.003,0.003,0.000,0.010,0.008,-9.999,0.010,0.002,0.005,0.000
12/07/08,16,0.001,0.004,0.002,0.006,0.005,0.000,0.000,0.002,0.004,0.004,0.006,0.004,0.008,0.005,-9.999,0.000,-9.999,0.000,0.003,0.003,0.004,0.000,0.006,0.006,-9.999,0.005,0.002,0.004,0.000
12/07/08,17,0.001,0.003,0.001,0.005,0.005,0.000,0.001,0.003,0.004,0.004,0.006,0.005,0.007,0.005,-9.999,0.001,-9.999,0.000,0.002,0.003,0.003,0.000,0.004,0.006,-9.999,0.005,0.002,0.004,0.000
12/07/08,18,0.001,0.002,0.000,0.003,0.005,0.000,0.001,0.004,0.003,0.006,0.007,0.005,0.005,0.004,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,0.000,0.003,0.005,-9.999,0.004,0.002,0.002,0.000
12/07/08,19,0.001,0.002,0.000,0.002,0.006,0.000,0.000,0.004,0.002,0.003,0.007,0.005,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.005,0.002,0.003,0.000
12/07/08,20,0.001,0.002,0.000,0.002,0.005,0.000,0.001,0.003,0.001,0.003,0.006,0.005,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.006,-9.999,0.005,0.002,0.003,0.000
12/07/08,21,0.001,0.001,0.000,0.002,0.005,0.000,0.001,-9.999,0.001,0.003,0.006,0.005,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,0.000,0.002,0.006,-9.999,0.005,0.002,0.003,0.000
12/07/08,22,0.000,0.002,0.000,0.002,0.005,0.000,0.001,0.002,0.003,0.007,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,0.004,0.001,0.003,-9.999
